accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,associated_with_(not_categorized),grouped_association,subspecies,strain,sample_ID,total_filtered_reads_in_sample,description,solid_fluid,sample_type
AF150629.1,9491,1005,13,"0,200192700","7,25808e-02","Acute bee paralysis virus, complete genome",92444,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Dicistroviridae,Aparavirus,Acute bee paralysis virus,Insects,insects,unclassified Acute bee paralysis virus subspecies/strain,unclassified Acute bee paralysis virus strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
AF150629.1,9491,8197,468,"7,391392700","5,43949e+00","Acute bee paralysis virus, complete genome",92444,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Dicistroviridae,Aparavirus,Acute bee paralysis virus,Insects,insects,unclassified Acute bee paralysis virus subspecies/strain,unclassified Acute bee paralysis virus strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
AF043303.1,4679,4677,48389,"1585,814300000","5,48004e+02","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
U48704.1,4726,1127,174,"5,800699000","1,95095e+00","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
AF043303.1,4679,4679,208810,"6795,638700000","6,97305e+03","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
U48704.1,4726,1691,2607,"84,918270000","8,61929e+01","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
AF043303.1,4679,4679,217011,"7095,304000000","6,14871e+03","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AF513852.1,4393,1021,187,"6,489748000","5,64333e+00","Adeno-associated virus 8 nonstructural protein and capsid protein genes, complete cds",202813,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 8,Adeno-associated virus - 8,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
U48704.1,4726,1804,1405,"46,521854000","3,94128e+01","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AF043303.1,4679,4641,12200,"400,328340000","5,82448e+02","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
